VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01/01/2024 00:18,01/01/2024 00:30,1,2.16,1,N,249,232,4,-13.5,-1,-0.5,0,0,-1,-18.5,-2.5,0
2,01/01/2024 00:18,01/01/2024 00:30,1,2.16,1,N,249,232,4,13.5,1,0.5,0,0,1,18.5,2.5,0
2,01/01/2024 00:39,01/01/2024 00:54,1,2.88,1,N,148,229,1,15.6,1,0.5,5.15,0,1,25.75,2.5,0
2,01/01/2024 00:34,01/01/2024 00:36,2,0.68,1,N,237,236,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
2,01/01/2024 00:47,01/01/2024 00:51,2,1.13,1,N,238,166,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,01/01/2024 00:57,01/01/2024 01:09,2,2.17,1,N,151,42,1,14.2,1,0.5,3.34,0,1,20.04,0,0
2,01/01/2024 00:06,01/01/2024 00:20,1,2.41,1,N,68,13,2,15.6,1,0.5,0,0,1,20.6,2.5,0
2,01/01/2024 00:27,01/01/2024 00:51,1,3.47,1,N,13,246,2,24.7,1,0.5,0,0,1,29.7,2.5,0
2,01/01/2024 00:36,01/01/2024 00:44,1,1.23,1,N,90,68,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
1,01/01/2024 00:12,01/01/2024 00:19,1,0.9,1,N,43,162,2,7.2,3.5,0.5,0,0,1,12.2,2.5,0
1,01/01/2024 00:22,01/01/2024 00:27,1,0.9,1,N,229,140,1,7.2,3.5,0.5,2.4,0,1,14.6,2.5,0
1,01/01/2024 00:34,01/01/2024 00:46,1,1.5,1,N,237,162,1,12.1,3.5,0.5,3.4,0,1,20.5,2.5,0
1,01/01/2024 00:58,01/01/2024 01:01,1,0,1,N,162,162,1,4.4,3.5,0.5,2,0,1,11.4,2.5,0
1,01/01/2024 00:36,01/01/2024 01:06,1,6.2,1,N,66,146,1,32.4,1,0.5,4.5,0,1,39.4,0,0
